Var,Factor,pd_value
1.0,0.0,1.0
1.0,1.0,0.926
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,0.352
1.0,5.0,0.014
1.0,6.0,0.57
1.0,7.0,0.02
1.0,8.0,1.0
1.0,9.0,0.052
1.0,10.0,0.084
1.0,11.0,0.0
1.0,12.0,0.612
1.0,13.0,0.918
1.0,14.0,0.522
1.0,15.0,0.906
1.0,16.0,0.532
1.0,17.0,0.008
1.0,18.0,0.674
1.0,19.0,0.034
1.0,20.0,0.974
1.0,21.0,0.96
2.0,0.0,1.0
2.0,1.0,0.874
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.332
2.0,5.0,0.01
2.0,6.0,0.56
2.0,7.0,0.008
2.0,8.0,1.0
2.0,9.0,0.066
2.0,10.0,0.072
2.0,11.0,0.0
2.0,12.0,0.664
2.0,13.0,0.88
2.0,14.0,0.516
2.0,15.0,0.866
2.0,16.0,0.502
2.0,17.0,0.002
2.0,18.0,0.656
2.0,19.0,0.032
2.0,20.0,0.96
2.0,21.0,0.892
3.0,0.0,1.0
3.0,1.0,0.758
3.0,2.0,0.996
3.0,3.0,1.0
3.0,4.0,0.412
3.0,5.0,0.018
3.0,6.0,0.784
3.0,7.0,0.016
3.0,8.0,1.0
3.0,9.0,0.154
3.0,10.0,0.036
3.0,11.0,0.0
3.0,12.0,0.924
3.0,13.0,0.792
3.0,14.0,0.534
3.0,15.0,0.82
3.0,16.0,0.586
3.0,17.0,0.012
3.0,18.0,0.802
3.0,19.0,0.06
3.0,20.0,0.984
3.0,21.0,0.802
4.0,0.0,0.998
4.0,1.0,0.832
4.0,2.0,0.998
4.0,3.0,1.0
4.0,4.0,0.39
4.0,5.0,0.004
4.0,6.0,0.664
4.0,7.0,0.01
4.0,8.0,1.0
4.0,9.0,0.076
4.0,10.0,0.022
4.0,11.0,0.0
4.0,12.0,0.84
4.0,13.0,0.844
4.0,14.0,0.498
4.0,15.0,0.832
4.0,16.0,0.568
4.0,17.0,0.006
4.0,18.0,0.73
4.0,19.0,0.038
4.0,20.0,0.982
4.0,21.0,0.862
5.0,0.0,1.0
5.0,1.0,0.862
5.0,2.0,1.0
5.0,3.0,1.0
5.0,4.0,0.354
5.0,5.0,0.012
5.0,6.0,0.594
5.0,7.0,0.018
5.0,8.0,1.0
5.0,9.0,0.076
5.0,10.0,0.05
5.0,11.0,0.0
5.0,12.0,0.722
5.0,13.0,0.87
5.0,14.0,0.52
5.0,15.0,0.856
5.0,16.0,0.502
5.0,17.0,0.002
5.0,18.0,0.656
5.0,19.0,0.03
5.0,20.0,0.966
5.0,21.0,0.872
6.0,0.0,1.0
6.0,1.0,0.856
6.0,2.0,0.998
6.0,3.0,1.0
6.0,4.0,0.394
6.0,5.0,0.022
6.0,6.0,0.566
6.0,7.0,0.024
6.0,8.0,1.0
6.0,9.0,0.064
6.0,10.0,0.062
6.0,11.0,0.0
6.0,12.0,0.746
6.0,13.0,0.878
6.0,14.0,0.48
6.0,15.0,0.868
6.0,16.0,0.524
6.0,17.0,0.008
6.0,18.0,0.67
6.0,19.0,0.03
6.0,20.0,0.972
6.0,21.0,0.868
7.0,0.0,1.0
7.0,1.0,0.89
7.0,2.0,0.998
7.0,3.0,1.0
7.0,4.0,0.362
7.0,5.0,0.016
7.0,6.0,0.572
7.0,7.0,0.014
7.0,8.0,1.0
7.0,9.0,0.062
7.0,10.0,0.062
7.0,11.0,0.0
7.0,12.0,0.722
7.0,13.0,0.894
7.0,14.0,0.518
7.0,15.0,0.882
7.0,16.0,0.544
7.0,17.0,0.0
7.0,18.0,0.674
7.0,19.0,0.054
7.0,20.0,0.982
7.0,21.0,0.89
8.0,0.0,1.0
8.0,1.0,0.804
8.0,2.0,1.0
8.0,3.0,1.0
8.0,4.0,0.378
8.0,5.0,0.014
8.0,6.0,0.628
8.0,7.0,0.022
8.0,8.0,1.0
8.0,9.0,0.086
8.0,10.0,0.038
8.0,11.0,0.0
8.0,12.0,0.802
8.0,13.0,0.828
8.0,14.0,0.5
8.0,15.0,0.826
8.0,16.0,0.528
8.0,17.0,0.002
8.0,18.0,0.716
8.0,19.0,0.038
8.0,20.0,0.984
8.0,21.0,0.854
9.0,0.0,0.994
9.0,1.0,0.77
9.0,2.0,0.984
9.0,3.0,1.0
9.0,4.0,0.362
9.0,5.0,0.01
9.0,6.0,0.714
9.0,7.0,0.014
9.0,8.0,1.0
9.0,9.0,0.092
9.0,10.0,0.026
9.0,11.0,0.0
9.0,12.0,0.856
9.0,13.0,0.786
9.0,14.0,0.526
9.0,15.0,0.808
9.0,16.0,0.564
9.0,17.0,0.0
9.0,18.0,0.754
9.0,19.0,0.058
9.0,20.0,0.986
9.0,21.0,0.842
10.0,0.0,1.0
10.0,1.0,0.88
10.0,2.0,1.0
10.0,3.0,1.0
10.0,4.0,0.294
10.0,5.0,0.016
10.0,6.0,0.544
10.0,7.0,0.018
10.0,8.0,1.0
10.0,9.0,0.062
10.0,10.0,0.072
10.0,11.0,0.0
10.0,12.0,0.668
10.0,13.0,0.888
10.0,14.0,0.526
10.0,15.0,0.864
10.0,16.0,0.528
10.0,17.0,0.002
10.0,18.0,0.654
10.0,19.0,0.028
10.0,20.0,0.974
10.0,21.0,0.908
