Var,Factor,pd_value
1.0,0.0,0.866
1.0,1.0,0.998
1.0,2.0,0.976
1.0,3.0,1.0
1.0,4.0,0.452
1.0,5.0,0.188
1.0,6.0,0.64
1.0,7.0,0.388
1.0,8.0,1.0
1.0,9.0,0.238
1.0,10.0,0.524
1.0,11.0,0.208
1.0,12.0,0.382
1.0,13.0,0.87
1.0,14.0,0.372
1.0,15.0,0.996
1.0,16.0,0.448
1.0,17.0,0.204
1.0,18.0,0.486
1.0,19.0,0.304
1.0,20.0,0.842
1.0,21.0,1.0
2.0,0.0,0.832
2.0,1.0,0.856
2.0,2.0,0.996
2.0,3.0,1.0
2.0,4.0,0.44
2.0,5.0,0.108
2.0,6.0,0.494
2.0,7.0,0.368
2.0,8.0,1.0
2.0,9.0,0.248
2.0,10.0,0.44
2.0,11.0,0.202
2.0,12.0,0.416
2.0,13.0,0.83
2.0,14.0,0.386
2.0,15.0,0.848
2.0,16.0,0.484
2.0,17.0,0.198
2.0,18.0,0.51
2.0,19.0,0.306
2.0,20.0,0.844
2.0,21.0,1.0
3.0,0.0,0.87
3.0,1.0,0.888
3.0,2.0,0.888
3.0,3.0,1.0
3.0,4.0,0.87
3.0,5.0,0.216
3.0,6.0,0.764
3.0,7.0,0.45
3.0,8.0,1.0
3.0,9.0,0.222
3.0,10.0,0.332
3.0,11.0,0.244
3.0,12.0,0.674
3.0,13.0,0.872
3.0,14.0,0.27
3.0,15.0,0.866
3.0,16.0,0.698
3.0,17.0,0.332
3.0,18.0,0.776
3.0,19.0,0.732
3.0,20.0,0.97
3.0,21.0,1.0
4.0,0.0,0.886
4.0,1.0,0.908
4.0,2.0,0.908
4.0,3.0,1.0
4.0,4.0,0.97
4.0,5.0,0.176
4.0,6.0,0.918
4.0,7.0,0.382
4.0,8.0,1.0
4.0,9.0,0.216
4.0,10.0,0.138
4.0,11.0,0.244
4.0,12.0,0.896
4.0,13.0,0.884
4.0,14.0,0.114
4.0,15.0,0.886
4.0,16.0,0.884
4.0,17.0,0.384
4.0,18.0,0.926
4.0,19.0,0.776
4.0,20.0,0.982
4.0,21.0,1.0
5.0,0.0,0.612
5.0,1.0,0.616
5.0,2.0,0.6
5.0,3.0,1.0
5.0,4.0,0.544
5.0,5.0,0.028
5.0,6.0,0.652
5.0,7.0,0.314
5.0,8.0,1.0
5.0,9.0,0.352
5.0,10.0,0.258
5.0,11.0,0.212
5.0,12.0,0.608
5.0,13.0,0.616
5.0,14.0,0.28
5.0,15.0,0.66
5.0,16.0,0.574
5.0,17.0,0.162
5.0,18.0,0.638
5.0,19.0,0.474
5.0,20.0,0.76
5.0,21.0,1.0
6.0,0.0,0.884
6.0,1.0,0.898
6.0,2.0,0.898
6.0,3.0,1.0
6.0,4.0,0.88
6.0,5.0,0.216
6.0,6.0,0.964
6.0,7.0,0.416
6.0,8.0,1.0
6.0,9.0,0.232
6.0,10.0,0.232
6.0,11.0,0.216
6.0,12.0,0.768
6.0,13.0,0.876
6.0,14.0,0.272
6.0,15.0,0.89
6.0,16.0,0.73
6.0,17.0,0.33
6.0,18.0,0.89
6.0,19.0,0.728
6.0,20.0,0.962
6.0,21.0,1.0
7.0,0.0,0.676
7.0,1.0,0.716
7.0,2.0,0.708
7.0,3.0,1.0
7.0,4.0,0.394
7.0,5.0,0.094
7.0,6.0,0.448
7.0,7.0,0.084
7.0,8.0,1.0
