Var,Factor,pd_value
1.0,0.0,0.958
1.0,1.0,1.0
1.0,2.0,0.996
1.0,3.0,1.0
1.0,4.0,0.454
1.0,5.0,0.078
1.0,6.0,0.71
1.0,7.0,0.24
1.0,8.0,1.0
1.0,9.0,0.182
1.0,10.0,0.468
1.0,11.0,0.22
1.0,12.0,0.372
1.0,13.0,0.962
1.0,14.0,0.422
1.0,15.0,0.998
1.0,16.0,0.464
1.0,17.0,0.112
1.0,18.0,0.546
1.0,19.0,0.222
1.0,20.0,0.884
1.0,21.0,1.0
2.0,0.0,0.946
2.0,1.0,0.97
2.0,2.0,1.0
2.0,3.0,1.0
2.0,4.0,0.426
2.0,5.0,0.032
2.0,6.0,0.512
2.0,7.0,0.226
2.0,8.0,1.0
2.0,9.0,0.17
2.0,10.0,0.422
2.0,11.0,0.206
2.0,12.0,0.414
2.0,13.0,0.946
2.0,14.0,0.428
2.0,15.0,0.958
2.0,16.0,0.494
2.0,17.0,0.096
2.0,18.0,0.526
2.0,19.0,0.214
2.0,20.0,0.886
2.0,21.0,1.0
3.0,0.0,0.946
3.0,1.0,0.966
3.0,2.0,0.97
3.0,3.0,1.0
3.0,4.0,0.9
3.0,5.0,0.104
3.0,6.0,0.83
3.0,7.0,0.262
3.0,8.0,1.0
3.0,9.0,0.206
3.0,10.0,0.214
3.0,11.0,0.22
3.0,12.0,0.722
3.0,13.0,0.954
3.0,14.0,0.282
3.0,15.0,0.96
3.0,16.0,0.724
3.0,17.0,0.276
3.0,18.0,0.838
3.0,19.0,0.816
3.0,20.0,0.994
3.0,21.0,1.0
4.0,0.0,0.948
4.0,1.0,0.966
4.0,2.0,0.968
4.0,3.0,1.0
4.0,4.0,0.996
4.0,5.0,0.1
4.0,6.0,0.96
4.0,7.0,0.164
4.0,8.0,1.0
4.0,9.0,0.242
4.0,10.0,0.084
4.0,11.0,0.258
4.0,12.0,0.94
4.0,13.0,0.948
4.0,14.0,0.122
4.0,15.0,0.956
4.0,16.0,0.918
4.0,17.0,0.436
4.0,18.0,0.968
4.0,19.0,0.876
4.0,20.0,0.992
4.0,21.0,1.0
5.0,0.0,0.136
5.0,1.0,0.144
5.0,2.0,0.126
5.0,3.0,1.0
5.0,4.0,0.396
5.0,5.0,0.884
5.0,6.0,0.144
5.0,7.0,0.68
5.0,8.0,1.0
5.0,9.0,0.616
5.0,10.0,0.834
5.0,11.0,0.356
5.0,12.0,0.154
5.0,13.0,0.128
5.0,14.0,0.228
5.0,15.0,0.168
5.0,16.0,0.228
5.0,17.0,0.594
5.0,18.0,0.144
5.0,19.0,0.424
5.0,20.0,0.272
5.0,21.0,1.0
6.0,0.0,0.962
6.0,1.0,0.976
6.0,2.0,0.976
6.0,3.0,1.0
6.0,4.0,0.904
6.0,5.0,0.126
6.0,6.0,0.982
6.0,7.0,0.228
6.0,8.0,1.0
6.0,9.0,0.208
6.0,10.0,0.14
6.0,11.0,0.222
6.0,12.0,0.848
6.0,13.0,0.96
6.0,14.0,0.284
6.0,15.0,0.966
